,name,longitude,latitude
191,Ilmalan asema,24.922219888430064,60.206626437691405
192,Ruskeasuon varikko,24.898667890628126,60.20767995961701
193,Vanha Viertotie,24.881660254358646,60.211075296273414
194,Valimotie,24.87646479282845,60.215922235436786
195,Takomotie,24.8710464686467,60.2178996331627
196,Tapiolan urheilupuisto,24.784654,60.177749
197,Pajamäki,24.85566795479381,60.218807358014985
198,Urheilupuisto (M),24.779428,60.17465
199,Haagan tori,24.899551136356806,60.21227524113252
200,Tunnelitie,24.89954369574049,60.21661653745581
201,Tontunmäentie,24.769667,60.176107
202,Huopalahden asema,24.89505934373838,60.218088561019165
203,Valimon asema,24.875870912746144,60.22229427877046
204,Olarinluoma,24.760606,60.180848
205,Pitäjänmäen asema,24.85863812462164,60.22431428805152
206,Jännetie,24.85354095884256,60.226769960915966
207,Niittymaa,24.775913,60.171127
208,Marttila,24.873227365442304,60.227143233822176
209,Pohjois-Haagan asema,24.88312884546424,60.230151499496536
210,Näyttelijäntie,24.887434554817386,60.23285213757895
211,Niittykumpu (M),24.763184,60.170758
212,Ida Aalbergin tie,24.895199,60.229488
213,Haukilahdensolmu,24.772708,60.166481
214,Teljäntie,24.868739477207995,60.20969562580255
215,Thalianaukio,24.894792651160333,60.22534052315868
216,Munkkivuoren ostoskeskus,24.8798291,60.2059946
217,Huovitie,24.903286646676616,60.22197553556329
218,Haukilahdenaukio,24.775882,60.162396
219,Hämeenlinnanväylä,24.902832,60.227451
220,Vihdintie,24.8895209,60.208925
221,Vesakkotie,24.926564764263762,60.22794236805671
222,Hauenkallio,24.767831,60.162477
223,Kriikunakuja,24.8916817,60.2056785
224,Maunula,24.9325030021005,60.2303828883575
225,Tilkantori,24.8934761,60.2028392
226,Lepolantie,24.92859501499382,60.23910894200569
227,Haukilahdenranta,24.769864,60.158048
228,Korppaanmäentie,24.8989297,60.2034735
229,Kylävoudintie,24.952561243589713,60.22440378465167
230,Tenholantie,24.9054609,60.2024393
231,Kustaankartano,24.9487651621967,60.2307028705708
232,Radiokatu,24.918419,60.20499
233,Käskynhaltijantie,24.9579341169413,60.2332319517011
234,Hertanmäenkatu,24.922458,60.202539
235,Mellstenintie,24.773993,60.154941
236,Mäkitorpantie,24.962531,60.230141
237,Toppelundintie,24.782477,60.1591405
238,Maistraatintori,24.924873,60.199151
239,Siltavoudintie,24.96539507775229,60.23370685633967
240,Esterinportti,24.9267808,60.1975724
241,Oulunkylän asema,24.9667185624346,60.2291001633593
242,Westendintie,24.791754,60.158194
243,Rautatieläisenkatu,24.9332721,60.2014382
244,Kirkkoherrantie,24.972819375145058,60.22493036511101
245,Toppelundinportti,24.7848628,60.1624471
246,Pasilan asema,24.9327990790329,60.198210866794
247,Otto Brandtin tie,24.978138919040457,60.23178406584145
248,Linnakepolku,24.790132,60.1637
249,Ratapihantie,24.936256,60.196431
250,Katariina Saksilaisen katu,24.984420078358692,60.217214807977534
251,Venttiilikuja,24.941578,60.1942095
252,Hernepellontie,24.98860011548657,60.224212141004635
253,Linnanmäki,24.9401593,60.1911411
254,Aulangontie,24.998533819860555,60.23030192663912
255,Brahen puistikko,24.9481024,60.1896706
256,Pihlajamäki,25.010313905081038,60.234578571034135
257,Fleminginkatu,24.9521601,60.1895417
258,Viikin tiedepuisto,25.010062061139756,60.227520671727405
259,Gebhardinaukio,24.956262,60.190857
260,Viikin normaalikoulu,25.02761893353016,60.227495295832895
261,Mäkelänkatu,24.9635596,60.1896352
262,Agronominkatu,25.032857400999006,60.2340530100318
263,Vilhonvuorenkatu,24.9678718,60.1864633
264,Von Daehnin katu,25.04356806988234,60.23033717886547
265,Kaivopuisto,24.950292889690314,60.15544479382098
266,Lintulahdenkatu,24.9621936,60.1837182
267,Mustikkamaa,24.992037110168354,60.181861779166056
268,Laivasillankatu,24.95634747175871,60.160959094315416
269,Näkinsilta,24.9554618,60.179765
270,Relanderinaukio,25.00601922389024,60.18588749805257
271,Kapteeninpuistikko,24.9449274,60.1581892
272,Isoisänsilta,24.98179260578,60.18265182058
273,Kulosaari (M),25.006566530899704,60.188950088551046
274,Viiskulma,24.9417758,60.1609859
275,Arielinkatu,24.979739,60.185922
276,Tupasaarentie,25.015391648483803,60.187998177032696
277,Sepänkatu,24.9362853,60.1579483
278,Kalasatama (M),24.9770684,60.18755649
279,Haakoninlahdenkatu,25.020860955309665,60.168868558353665
280,Hietalahdentori,24.9297099,60.1622251
281,Teurastamo,24.9711926,60.1896994
282,Gunillantie,25.032968849816825,60.171980271468335
283,Designmuseo,24.94596,60.1631032
284,Päijänteentie,24.9642238,60.1920576
285,Isosaarentie,25.044900705939895,60.17549032254954
286,Vanha kirkkopuisto,24.9391499,60.1652883
287,Pernajantie,24.9579931,60.1942342
288,Erottajan aukio,24.9442610720753,60.166890083486
289,Reiherintie,25.047496264887712,60.167730503345986
290,Teollisuuskatu,24.9487524,60.193486
